iter	R2	RMSE
670	0.8877016094	15625085.8
671	0.8877592443	15621075.66
672	0.8878129001	15617341.45
673	0.887852501	15614584.82
674	0.8878924116	15611806.15
675	0.8879213617	15609790.26
676	0.8880044232	15604004.98
677	0.8880375166	15601699.41
678	0.8880947617	15597710.41
679	0.8882092459	15589729.78
680	0.8882720445	15585350.39
681	0.8883377722	15580765.42
682	0.8884129972	15575516.28
683	0.8884533763	15572697.93
684	0.8884801136	15570831.46
685	0.8884962142	15569707.41
686	0.8885523291	15565789.15
687	0.8886028879	15562258
688	0.8886378181	15559817.92
689	0.8887014386	15555372.67
690	0.8888041802	15548191.3
691	0.8888701828	15543576.14
692	0.8889235757	15539841.69
693	0.8889451224	15538334.4
694	0.8889612204	15537208.18
695	0.889018727	15533184.32
696	0.8890656738	15529898.59
697	0.8891043719	15527189.64
698	0.8892152097	15519428.15
699	0.8892666445	15515825.08
700	0.8893141725	15512494.95
701	0.889359537	15509315.72
702	0.8893778724	15508030.56
703	0.8894037853	15506214.1
704	0.8894129577	15505571.08
705	0.8894626803	15502084.85
706	0.8895012776	15499378.11
707	0.8895267196	15497593.66
708	0.8896085449	15491853.23
709	0.8896349124	15490002.96
710	0.8896729564	15487332.95
711	0.8897092044	15484788.56
712	0.8897384979	15482732.02
713	0.8897801575	15479806.86
714	0.8898304352	15476275.84
715	0.8899131734	15470463.35
716	0.889946524	15468119.8
717	0.8899963639	15464616.88
718	0.8900319105	15462118.05
719	0.8900821881	15458582.99
720	0.8901117114	15456506.81
721	0.8901863213	15451258.73
722	0.8902345921	15447862.41
723	0.8902572027	15446271.27
724	0.8903086408	15442650.9
725	0.8903975415	15436391.79
726	0.8904491252	15432758.84
727	0.8905683014	15424362.2
728	0.8905871181	15423036.04
729	0.8906155067	15421035.06
730	0.8906516913	15418484.19
731	0.8907258009	15413258.46
732	0.8907629503	15410638.24
733	0.8907993176	15408072.77
734	0.8908439907	15404920.79
735	0.8909188803	15399635.39
736	0.8909575497	15396905.56
737	0.8910084717	15393310.01
738	0.8910821	15388109.73
739	0.8911404933	15383984.22
740	0.8911754204	15381516.08
741	0.8912069046	15379290.9
742	0.8912246849	15378034.11
743	0.8912732513	15374600.71
744	0.8913224719	15371120.27
745	0.8913970032	15365848.59
746	0.8914398733	15362815.53
747	0.8914575415	15361565.32
748	0.8915102538	15357834.79
749	0.891611493	15350667.39
750	0.8916408612	15348587.6
751	0.891698982	15344470.77
752	0.8918261928	15335456.28
753	0.8918798626	15331651.51
754	0.8919190921	15328869.85
755	0.8919597363	15325987.34
756	0.8919829616	15324339.95
757	0.89200739	15322607.03
758	0.8920371845	15320493.17
759	0.8921068604	15315548.69
760	0.8921407241	15313145.01
761	0.8921799743	15310358.51
762	0.8922117974	15308098.91
763	0.8922486086	15305484.73
764	0.8923024967	15301657
765	0.8923668721	15297083.08
766	0.8923946097	15295111.89
767	0.8924685406	15289856.69
768	0.8925082626	15287032.4
769	0.8925454359	15284388.85
770	0.8925776271	15282099.24
771	0.8926099669	15279798.7
772	0.8926201807	15279072.06
773	0.8926472553	15277145.72
774	0.8927470338	15270044.43
775	0.8927725693	15268226.53
776	0.892793873	15266709.72
777	0.8928329048	15263930.3
778	0.8928905354	15259825.55
779	0.8929131874	15258211.86
780	0.8929552108	15255217.73
781	0.8929916756	15252619.16
782	0.8930559426	15248038.27
783	0.8930922322	15245450.97
784	0.8931233719	15243230.49
785	0.8931762616	15239458.34
786	0.8932102494	15237033.8
787	0.8932717219	15232647.64
788	0.8933304739	15228454.42
789	0.8934242788	15221757.01
790	0.8934816423	15217659.97
791	0.8935034016	15216105.58
792	0.8935349757	15213849.77
793	0.8935862757	15210183.95
794	0.8936136606	15208226.7
795	0.8936347577	15206718.68
796	0.893665873	15204494.28
797	0.893705299	15201675.31
798	0.8937376836	15199359.4
799	0.8937726014	15196861.94
800	0.8937998654	15194911.62
801	0.8938709497	15189825.47
802	0.8939006373	15187700.78
803	0.8939353633	15185215.14
804	0.8940076427	15180040.15
805	0.8940560284	15176574.9
806	0.8940840782	15174565.69
807	0.894119211	15172048.74
808	0.8941461183	15170120.79
809	0.894228964	15164183.25
810	0.8942783347	15160643.74
811	0.8943249933	15157297.92
812	0.8943592088	15154843.9
813	0.8943832637	15153118.39
814	0.8944187507	15150572.47
815	0.8944742891	15146587.15
816	0.8945546897	15140815.92
817	0.8945920976	15138130
